belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,release_date,revenue,runtime,spoken_languages,tagline,title,vote_average,vote_count
"{'id': 10, 'name': 'Star Wars Collection', 'poster_path': '/ghd5zOQnDaDW1mxO7R5fXXpZMu.jpg', 'backdrop_path': '/d8duYyyC9J5T825Hg7grmaabfxQ.jpg'}",11000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",http://www.starwars.com/films/star-wars-episode-iv-a-new-hope,11,tt0076759,en,Star Wars,Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.,42.149697,/6FfCtAuVAW8XJjZ7eWeLibRLWTw.jpg,"[{'name': 'Lucasfilm', 'id': 1}, {'name': 'Twentieth Century Fox Film Corporation', 'id': 306}]",5/25/1977,775398007,121,"[{'iso_639_1': 'en', 'name': 'English'}]","A long time ago in a galaxy far, far away...",Star Wars,8.1,6778
"{'id': 137697, 'name': 'Finding Nemo Collection', 'poster_path': '/xwggrEugjcJDuabIWvK2CpmK91z.jpg', 'backdrop_path': '/2hC8HHRUvwRljYKIcQDMyMbLlxz.jpg'}",94000000,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}]",http://movies.disney.com/finding-nemo,12,tt0266543,en,Finding Nemo,"Nemo, an adventurous young clownfish, is unexpectedly taken from his Great Barrier Reef home to a dentist's office aquarium. It's up to his worrisome father Marlin and a friendly but forgetful fish Dory to bring Nemo home -- meeting vegetarian sharks, surfer dude turtles, hypnotic jellyfish, hungry seagulls, and more along the way.",25.497794,/eHuGQ10FUzK1mdOY69wF5pGgEf5.jpg,"[{'name': 'Pixar Animation Studios', 'id': 3}]",5/30/2003,940335536,100,"[{'iso_639_1': 'en', 'name': 'English'}]",There are 3.7 trillion fish in the ocean. They're looking for one.,Finding Nemo,7.6,6292
,55000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",,13,tt0109830,en,Forrest Gump,"A man with a low IQ has accomplished great things in his life and been present during significant historic events - in each case, far exceeding what anyone imagined he could do. Yet, despite all the things he has attained, his one true love eludes him. 'Forrest Gump' is the story of a man who rose above his challenges, and who proved that determination, courage, and love are more important than ability.",48.307194,/arw2vcBveWOVZr6pxd9XTd1TdQa.jpg,"[{'name': 'Paramount Pictures', 'id': 4}]",7/6/1994,677945399,142,"[{'iso_639_1': 'en', 'name': 'English'}]","The world will never be the same, once you've seen it through the eyes of Forrest Gump.",Forrest Gump,8.2,8147
,15000000,"[{'id': 18, 'name': 'Drama'}]",http://www.dreamworks.com/ab/,14,tt0169547,en,American Beauty,"Lester Burnham, a depressed suburban father in a mid-life crisis, decides to turn his hectic life around after developing an infatuation with his daughter's attractive friend.",20.726578,/wby9315QzVKdW9BonAefg8jGTTb.jpg,"[{'name': 'DreamWorks SKG', 'id': 27}, {'name': 'Jinks/Cohen Company', 'id': 2721}]",9/15/1999,356296601,122,"[{'iso_639_1': 'en', 'name': 'English'}]",Look closer.,American Beauty,7.9,3438
,839727,"[{'id': 9648, 'name': 'Mystery'}, {'id': 18, 'name': 'Drama'}]",,15,tt0033467,en,Citizen Kane,"Newspaper magnate, Charles Foster Kane is taken from his mother as a boy and made the ward of a rich industrialist. As a result, every well-meaning, tyrannical or self-destructive move he makes for the rest of his life appears in some way to be a reaction to that deeply wounding event.",15.811921,/sav0jxhqiH0bPr2vZFU0Kjt2nZL.jpg,"[{'name': 'RKO Radio Pictures', 'id': 6}, {'name': 'Mercury Productions', 'id': 11447}]",4/30/1941,23217674,119,"[{'iso_639_1': 'en', 'name': 'English'}]",It's Terrific!,Citizen Kane,8,1244
"{'id': 295, 'name': 'Pirates of the Caribbean Collection', 'poster_path': '/zT5UKFhq9nk97VGlBbAxlAK8UFN.jpg', 'backdrop_path': '/cnKAGbX1rDkAquF2V1wVkptHDJO.jpg'}",140000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}]",http://disney.go.com/disneyvideos/liveaction/pirates/main_site/main.html,22,tt0325980,en,Pirates of the Caribbean: The Curse of the Black Pearl,"Jack Sparrow, a freewheeling 17th-century pirate who roams the Caribbean Sea, butts heads with a rival pirate bent on pillaging the village of Port Royal. When the governor's daughter is kidnapped, Sparrow decides to help the girl's love save her. But their seafaring mission is hardly simple.",47.326665,/poHwCZeWzJCShH7tOjg8RIoyjcw.jpg,"[{'name': 'Walt Disney Pictures', 'id': 2}, {'name': 'Jerry Bruckheimer Films', 'id': 130}]",7/9/2003,655011224,143,"[{'iso_639_1': 'en', 'name': 'English'}]",Prepare to be blown out of the water.,Pirates of the Caribbean: The Curse of the Black Pearl,7.5,7191
"{'id': 2883, 'name': 'Kill Bill Collection', 'poster_path': '/tf1nUtw3LJGUGv1EFFi23iz6ngr.jpg', 'backdrop_path': '/oCLKNACMNrEf4T1EP6BpMXDl5m1.jpg'}",30000000,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}]",http://www.miramax.com/movie/kill-bill-volume-1/,24,tt0266697,en,Kill Bill: Vol. 1,"An assassin is shot at the altar by her ruthless employer, Bill and other members of their assassination circle â€“ but 'The Bride' lives to plot her vengeance. Setting out for some payback, she makes a death list and hunts down those who wronged her, saving Bill for last.",25.261865,/v7TaX8kXMXs5yFFGR41guUDNcnB.jpg,"[{'name': 'Miramax Films', 'id': 14}, {'name': 'A Band Apart', 'id': 59}, {'name': 'Super Cool ManChu', 'id': 39121}]",10/10/2003,180949000,111,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'ja', 'name': 'æ—¥æœ¬èªž'}, {'iso_639_1': 'fr', 'name': 'FranÃ§ais'}]",Go for the kill.,Kill Bill: Vol. 1,7.7,5091
,31500000,"[{'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]",http://www.apocalypsenow.com,28,tt0078788,en,Apocalypse Now,"At the height of the Vietnam war, Captain Benjamin Willard is sent on a dangerous mission that, officially, ""does not exist, nor will it ever exist."" His goal is to locate - and eliminate - a mysterious Green Beret Colonel named Walter Kurtz, who has been leading his personal army on illegal guerrilla missions into enemy territory.",13.5963,/gQB8Y5RCMkv2zwzFHbUJX3kAhvA.jpg,"[{'name': 'United Artists', 'id': 60}, {'name': 'Zoetrope Studios', 'id': 26663}]",8/15/1979,89460381,153,"[{'iso_639_1': 'km', 'name': ''}, {'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'FranÃ§ais'}, {'iso_639_1': 'vi', 'name': 'Tiáº¿ng Viá»‡t'}]",This is the end...,Apocalypse Now,8,2112
,14000000,"[{'id': 37, 'name': 'Western'}]",,33,tt0105695,en,Unforgiven,"William Munny is a retired, once-ruthless killer turned gentle widower and hog farmer. To help support his two motherless children, he accepts one last bounty-hunter mission to find the men who brutalized a prostitute. Joined by his former partner and a cocky greenhorn, he takes on a corrupt sheriff.",10.942149,/54roTwbX9fltg85zjsmrooXAs12.jpg,"[{'name': 'Malpaso Productions', 'id': 171}, {'name': 'Warner Bros.', 'id': 6194}]",8/7/1992,159157447,131,"[{'iso_639_1': 'en', 'name': 'English'}]",Some legends will never be forgotten. Some wrongs can never be forgiven.,Unforgiven,7.7,1133
,20000000,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",http://www.eternalsunshine.com,38,tt0338013,en,Eternal Sunshine of the Spotless Mind,"Joel Barish, heartbroken that his girlfriend underwent a procedure to erase him from her memory, decides to do the same. However, as he watches his memories of her fade away, he realises that he still loves her, and may be too late to correct his mistake.",12.906327,/5MwkWH9tYHv3mV9OdYTMR5qreIz.jpg,"[{'name': 'Anonymous Content', 'id': 10039}, {'name': 'This Is That Productions', 'id': 10059}, {'name': 'Focus Features', 'id': 10146}]",3/19/2004,72258126,108,"[{'iso_639_1': 'en', 'name': 'English'}]",You can erase someone from your mind. Getting them out of your heart is another story.,Eternal Sunshine of the Spotless Mind,7.9,3758
